,sentiment,content
10477,love,aw man watch hollyhocks sad
10478,surprise,wish fly dream real aha want tom write action planner aa would awesome though wink
10479,sadness,mention sorry make
10480,worry,mention look nice never knew vh short life span hope fav vh dead
10481,neutral,mention block end tri remem later
10482,worry,instal new hard drive gotta redo every though
10483,neutral,part start feel effect tan
10484,worry,twitter let update online update box work
10485,neutral,mention sorry get refer meme
10486,neutral,mention ohh yeah sometime forget cheek ok america
10487,enthusiasm,wait amp cramp
10488,hate,friday whole differ mean work saturday sunday
10489,sadness,ok day jo bit bruise
10490,sadness,mention male listen sad music miss p
10491,worry,mention wrote leadership essay founder expand went well tri break america lot money burn
10492,sadness,mention yep b automate fall someone person sting like way suck
10493,sadness,mention clown since got flood town april got repair thought
10494,worry,dri superglue thumb
10495,neutral,much skye blackberry may
10496,surprise,bunuelo huge hit skip shop afterward let see kind trouble get
10497,worry,great let friend use pod morn use day kill battery cant listen demi
10498,worry,mention sorry
10499,worry,keep cant text patrick back baby
10500,love,mention drawn yet
10501,neutral,mention well spur
10502,neutral,work
10503,empty,deadline
10504,worry,mention laugh shush ill come joy multiple mouth ulcer think come back heal
10505,worry,sad know life every done since age toward healthcare nurse
10506,sadness,feel sorry male singer never gonna great mac hanson poor fella
10507,neutral,mention good day sir hungry
10508,worry,bad day
10509,sadness,mention prefer overcast day sorry hot
10510,worry,girl need hug lost cell phone
10511,hate,ahh mad ppl make time like yuck thing cut deal w hr stuff ppl tear kill
10512,sadness,ml noth perfect
10513,sadness,mention yea feel like im ignore
10514,worry,great session canvas sun miser u go pub
10515,sadness,start work miss like crazy wont see till tuesday
10516,worry,mention sorry really suck
10517,worry,thing suck holiday worry pet cat tutor cat resort jones much company dad law
10518,worry,miss mention much
10519,surprise,everyone nice weather prague
10520,surprise,apply expect launch new phone summer hi name judi addict apply product
10521,worry,twit twit twitter tri legal watch move online happen
10522,happiness,mention aww would virtual high five make better
10523,fun,airport philadelphia moment wait plane leave hour six hour plane
10524,fun,mention stay june exam decent train class need studi hang zombi move sunday afton sold come
10525,empty,dont wanna im spanish today
10526,love,really want puppy
10527,sadness,mention problem unfortun think cometh sort
10528,sadness,know say fuck horn hell
10529,neutral,home school tonight probably
10530,sadness,home feel like go work tomorrow
10531,neutral,f sweet post super exit weekend lovejoy
10532,worry,mention oh noe hope feel better soon head sympathy
10533,sadness,mention ahh vote close category would vote though tri
10534,sadness,fun sun im see tan yet though want school
10535,neutral,mention im full ob burrito enchilado style mom wanna go tho
10536,neutral,mention oo believe close even one airport
10537,neutral,mention work tonight
10538,worry,think clean organ need done weekend
10539,worry,mention oy get check ulcer plea plea plea
10540,sadness,mention gotta sad
10541,worry,wanna go work tonight
10542,sadness,wish dint go work tonight
10543,sadness,still feel well
10544,enthusiasm,read eastern go good one last semi final final tomorrow night though exit stuff
10545,worry,ye final friday tech mean noth since im current unemployed
10546,sadness,biggest food fight pit ever miss across school
10547,worry,mention next time might get time bu anth
10548,sadness,fire call today miss
10549,love,mention met he live got club place laugh loud dont get twitter
10550,sadness,gonna go brother show still feel like poo love
10551,sadness,anyone el bad friday fun day today
10552,hate,mention trickery easier see gay pride hijack polite bigger uglier anth meant
10553,happiness,best purchas today yard sale large dog crate refried office buy anth old
10554,empty,cake sold vermin
10555,neutral,tri open dock file virtual system dryer office
10556,sadness,msn one cri
10557,worry,mention poor thing hug plenty all gel summer eh
10558,sadness,best day work best weekend ahead hope someone go usc
10559,neutral,mention may keep shelf rest old camera
10560,worry,mention poor toni come play scrabble casebook
10561,surprise,mention forgot moi
10562,worry,r p frost think
10563,worry,plane yosemite forgot laptop home
10564,worry,mention hey sorry get touch sooner go bologna way
10565,worry,rain school world
10566,sadness,risk sound like whine child gotta say wanna go home ugh
10567,worry,mention tune let move song touch onto compute
10568,surprise,mention want dance really listen song since left make miss
10569,worry,mention oh phew scare wont access im mexico
10570,relief,mention mention e crazy summer cut ci close rd
10571,worry,today sad cat year stop eat sick
10572,worry,hey left nipple never respond back
10573,worry,parent yacht tv terrible noth el sad
10574,worry,mention show screen
10575,worry,sad camera hand geek squad week
10576,sadness,prodigy crystal method tomorrow usc birthday parti work first time miss crystal method sad
10577,worry,hm seem blow mark fish site
10578,neutral,anybody want bring lunch
10579,happiness,mention thank know happen awhile
10580,sadness,mention impose know close
10581,worry,first day back work mail still get
10582,sadness,mention nah player listen back work
10583,worry,summer time ga price go
10584,neutral,mention bid gone wast mention even give u look
10585,neutral,mention call
10586,worry,find good version monkey song still get send message thing twitter
10587,sadness,lost favorite pen good thing back
10588,worry,internet train aw
10589,worry,got back london disco still ticket
10590,worry,mention omginorit fancy time really bad grow handlebar moustache
10591,worry,think bout caddie comment
10592,happiness,leave work go crystal search license pick big head vega ugh tire already
10593,worry,mention feel soon close hard cant point ugh
10594,neutral,damn
10595,sadness,mention good good sched sadly
10596,neutral,im tire gloom happen ro summer
10597,worry,wash dish hard
10598,sadness,mention aww dint pas speech
10599,neutral,tire beyond reason would rather anth el tire
10600,worry,cri like fun baby today da senior show miss senior friend
10601,neutral,note self wear steel toe court hous say
10602,worry,hurt foot gym class
10603,happiness,fever awesome tonsil swollen even eat solid food still local picture rule though
10604,empty,very buy black anc british lab today apart complex overrun dumb
10605,empty,mention dont like
10606,sadness,bye bye edinburgh want leave
10607,sadness,kinda piss really want go see drag hell christina garret work till go
10608,sadness,mention hello tom gig tonight sorry im sure show miss uk hi hi hi hi hi xx
10609,love,chart pretty good expect free hot waitress think back work unfortun
10610,worry,mention ouch acid reflux hurt
10611,neutral,justin blanket shed black lint white skirt
10612,sadness,fuck hate life sometime reply bad thing even bad kid what ml
10613,neutral,mention stream video phone
10614,sadness,mention video avail online gone morn miss wait long
10615,worry,rot brought climb wall work work tri climb want forgot climb shoe home today
10616,neutral,head home
10617,sadness,run annapolis half marathon weekend fail meet register deadline amp complete fill
10618,neutral,milton key leave tomorrow
10619,neutral,mention problem
10620,worry,nightmare last night cri think scar life
10621,sadness,mention miss gonna irvin liz reminisce adventure
10622,sadness,pain sound world cri someone love work even hold say sorry
10623,worry,mention miss mine everybody el east coast
10624,worry,may pay somebody take care need person nurse
10625,worry,news want resist aslam thing afraid indeed suppose
10626,sadness,gonna laundry never laundry hotel miss r even though ignore even check
10627,sadness,mention confide friend cancel move date
10628,hate,bail sponsorship
10629,worry,mention miami right see hand delivery near future unfortun
10630,sadness,woke dont want go work
10631,sadness,done geology really miss favorite sister expect go banquet tonight
10632,worry,mention twitter app phone pod touch slow though
10633,worry,everyone stop amp help find favorite pen black click paper heart pen
10634,sadness,depress right ink
10635,neutral,mention sorry go paintbox tonight good move
10636,neutral,give day old baby poor thing
10637,hate,realise angry person georgia groggy comfort still driven
10638,hate,mention shit
10639,sadness,hold wow think could slept day soon tire
10640,worry,mention sorry hear loss thought prayer family time grief
10641,worry,mention go go sunday got much go weekend
10642,worry,recent expert anth go fear might go indian food good people good
10643,worry,without wing
10644,empty,instal app company macbook pro assisi active director collect
10645,worry,mention thank still wait know take long bad sign good sign
10646,sadness,mention well complete lame sorry dude
10647,worry,mention know
10648,sadness,mention yeah know man
10649,hate,ear pop
10650,neutral,mention got one usb key without fancy package
10651,worry,yayayyayayay toy story come june though
10652,neutral,mention damn gonna follow son
10653,sadness,senior last day
10654,worry,mention ahh check dentist app next week though get molar pull root canal
10655,sadness,pic agent work twitter
10656,empty,load insect attack time go inside
10657,sadness,sad coz theda dont beer
10658,sadness,wish could share problem someone
10659,worry,whole lot rainstorm goin may go tonight
10660,worry,mention yeah freak suck
10661,love,mention oh coo suppose intern danjit sat intern life aha
10662,fun,mention noo never call anymore laugh loud good rick ross town might go show nite wink
10663,happiness,home sweet home picnic blanket though
10664,relief,mention yeah kept rethink noon knew would want go laugh loud end buy
10665,sadness,see dont mention
10666,neutral,mention are wait video buffer find someone read loud could faster head
10667,neutral,mention
10668,neutral,really think play doh tastykak brown
10669,worry,wife amp split duty tonight wife head osf daughter ath tung action son school paper banquet make
10670,surprise,glad friday week school left im glad almost summer though
10671,worry,somebody buy plane ticket home miss girl
10672,sadness,sun
10673,worry,mention fee pain lady ga ga drive insane oh dear god song head
10674,worry,elliott claim steak shake month exit anymore
10675,sadness,argue found mention go rock bell go
10676,sadness,fb hate tri amp support local bookstore amp never need
10677,neutral,god pm plea sooner
10678,neutral,need memory julia caesar line
10679,worry,mention dallas question direct cause follow
10680,sadness,yet start paper due tonight motive
10681,sadness,figure start rain freed work
10682,neutral,grill dinner last night senior final cairo dinner steak spice mango sausage hot wing grill veg corn
10683,worry,mention think catch god yeah imagine feel
10684,worry,wish could go rink sorry rayleigh xx
10685,sadness,mention sorry code post site
10686,neutral,mention wish would come price got great deal mac took week research
10687,sadness,mention well man truck mani mile away
10688,hate,ugh boom boom pow stuck head hate song
10689,sadness,found mad men season delay august
10690,sadness,mention wt glad hear though miss watch outside igloo day
10691,worry,poor baby dog coach surgery today
10692,sadness,still lose follow people hate world hate may read
10693,worry,im hungry food mah hous
10694,neutral,pizza parti went well still intis might well bag head what
10695,neutral,go work
10696,happiness,mention wanna go prom one day wish go prom even though im guy thatwouldmakeof friend happy
10697,worry,one hour till go home comment pout bahama trip
10698,neutral,mention know heard lorraine recent
10699,sadness,hate bring pod school
10700,empty,forgot complain southwest fretboard family worst part travel
10701,happiness,pom pup favour front paw
10702,worry,best friend vega without
10703,worry,mention suck teach people nice fucker drool notion
10704,worry,mention oh god everyone die mainly justin depress
10705,neutral,mention want one wanna give one wink
10706,love,exit tomorrow gotta clean hous clean clean clean ahh
10707,worry,hey im feel good cut wat happen yesterday car acid
10708,neutral,mention baby shut
10709,worry,mention heavy rain
10710,sadness,mention want go peach also miss kitten pendulum chaseampstatu blood beetroot fair
10711,worry,almost grandma internet never catch twitter
10712,love,got heart rip love guy
10713,worry,mention rather go destroy
10714,worry,quick catch miss neighbour poor libby
10715,worry,sad see basshunt metropole weekend
10716,sadness,far sick sing got post nasal drip sore throat sent sorry email
10717,love,ok sister go camp mad work tomorrow fun
10718,love,mention wish
10719,worry,aw crap pod thin gray line across screen drop take good care long die
10720,sadness,help save runaway dog want friend though
10721,love,mention aw hope feel better
10722,worry,last night suck mani bad dream spider rogue octopus
10723,happiness,ahh new pic new moon brill think wait month
10724,hate,ml car prohibit find job
10725,worry,bore
10726,neutral,oop correct mention seem spell worth darn today
10727,sadness,bad mood
10728,worry,still shoeless que ardilles
10729,worry,welcome mention let suggest mention mention love em news alga fish die today
10730,sadness,headache headache go away
10731,worry,lucky lucky homework
10732,hate,exit eat watermelon bought day terrible sweet
10733,worry,bad day
10734,sadness,mention test demo license expiry yesterday
10735,sadness,ugh still sick calgary cold last fore
10736,worry,always headache
10737,worry,insomnia tri sleep hour
10738,hate,book total bore
10739,sadness,still stupidly sick cancel phillip trip sad day
10740,hate,mention wont work keep disconnect pod office hate
10741,hate,mention pure twitter friend pure nymph summit fantail miss guy
10742,worry,mention least luggage came came back pari airline lost luggage
10743,sadness,sorry think hr till day
10744,sadness,still feel like blah hour
10745,worry,tri tesco mobileform toolkit sample trial message ruin every sample bug run slow poor st impress
10746,surprise,figure strong guy suppose put heavy thing top shell ouch
10747,sadness,mention still think fc meal miss yesterday
10748,relief,mention hey jess josh
10749,worry,mention oo wow f lionel tha
10750,worry,mention join club doug cold x
10751,sadness,pour outside clean locker book heavy back arm kill
10752,hate,mention oh damn really suck
10753,sadness,bore everyone social life except babysit brother tonight til dunno ill allow
10754,sadness,gone miss kay way already
10755,worry,twitter slow today
10756,sadness,feel lone spend last hour friend
10757,worry,mention sad got one hide laugh
10758,neutral,tweet
10759,neutral,mention yeah got admit someone take job satisfact nth degree
10760,neutral,rain hard
10761,neutral,anyone know call intern cell phone franc sure dont
10762,neutral,wanna karaoke instead get go work lame
10763,neutral,mention
10764,neutral,work
10765,neutral,clean time
10766,love,one week race cure plea donat all wish luck mile train run tomorrow
10767,sadness,think gay
10768,happiness,mention yeah cours next time wink seek also chat program
10769,worry,mention today little tan sesh got much shit next week sure
10770,surprise,mention oh mann like sadly auction tonight
10771,sadness,came home think may cometh good eat appear
10772,sadness,look special girl im fed hurt
10773,neutral,wanna go extra show really bad
10774,empty,soo tire wanna go houston heat
10775,neutral,mention tom plan german answer ur german
10776,hate,hate go work night micro least get work mention
10777,worry,realize last night idea p went move hope lost gone fore
10778,hate,need lay cramp suck asshole
10779,love,nice portland city commission vote rais city admin employed city police sheriff office cut staff
10780,worry,mention poor week
10781,love,nice day stuck inside
10782,neutral,still work
10783,neutral,shade
10784,enthusiasm,mention go uk take
10785,worry,ah suppose studi sneer get even tire
10786,neutral,goodbye into
10787,sadness,mention sad say fat tear
10788,worry,mention laugh fake pari anymore look bio wink way log onto forum
10789,sadness,dr beverly hill doctor scare crap
10790,neutral,mention video accept speech anth watch stream
10791,worry,britain got talent two episode left miss buzzer laugh loud
10792,neutral,fine ill get miso soup street
10793,worry,mention sim own life late laugh loud want get sim compute support
10794,neutral,mention uh oh
10795,surprise,total bummer lost follow
10796,worry,start shit leave shit alon tough denis
10797,worry,last free friday
10798,worry,mention dani baby
10799,worry,mention dani baby
10800,neutral,mention need tweet editor ye meant
10801,happiness,woo exam
10802,worry,morn know coffee energy drink help get go morn
10803,neutral,heather ann parry upto florence nightingale history could take
10804,sadness,mention ugh worry history wednesday freak much
10805,worry,im draw picture show much miss anyone blame he hour away
10806,worry,office work sunday dc
10807,fun,mention viable excuse help mention move sorry could help want wear sex move outfit
10808,empty,mention
10809,love,look time min may hubert hour
10810,sadness,aha bet man make heel im sorry hurt though hope feel better liveloves
10811,worry,spell name wrong message receive
10812,worry,mention brazil look miss th may perfect day
10813,worry,dread weekly grocery shop
10814,worry,run today tomorrow take lili lab shoot
10815,love,mention hey havent spoken ur london what wish vote brodie soon ill tell vote u
10816,neutral,mention suggest alert pta gene stand parent teacher assoc u amp might confuse sweep
10817,worry,got bit car acid poor patrick
10818,neutral,home get read back work monday mater leave
10819,happiness,gdr cant even enjoy b e duty day finish damn essay philosophy
10820,worry,mention mine ben slow since last night think might need reset
10821,worry,mention jealous see get dallas concert six sold
10822,neutral,mention told diamond follow itn share starburst
10823,love,mention miss much old aim really love hercule disney aha way awesome show yesterday guy xx
10824,empty,beauty nice day stuck inside
10825,empty,gotta ewart outline tennis work need time
10826,happiness,mention oh ye quit nice photoshop lie zojuist vast start paint glove
10827,worry,grizzly bear concert tonight wait cold though
10828,neutral,mention suggest loan defer
10829,worry,make madrid think made woman chamber even think remem mark audit form im depress
10830,fun,anybody beer right hate drink alon mr oot hand mr oot
10831,sadness,mention never sent carry ur asshole asshole miss
10832,neutral,year tri cat today figure open sink cupboard time target run buy safety lock
10833,happiness,tomorrow gone new home born singleour little puppy basset hound
10834,worry,mention vehicle still work mean get back keyboard tuesday miss baby
10835,worry,yay got order diaper mention confuse though point cute print cover
10836,hate,damn internet ju cut bout shoot sum guy eye kadi
10837,surprise,mention boston need one
10838,sadness,safe say euro winner week
10839,sadness,mention noo miss soo much aah
10840,relief,replace iron ring arrive shine bit jag origin
10841,neutral,hm tweetdeck lost old reply
10842,worry,mention pray family bear sorry loss
10843,sadness,friend
10844,worry,urgh slept work still done revise im snappy today total fat day
10845,sadness,mention sorry ahh rachel look much like
10846,neutral,hull desktop linx version mac version
10847,sadness,headache
10848,empty,tonight great night sport yank maker play want watch game im still scare drink
10849,hate,mention tell member private beta go start pretend assassin people
10850,love,iva already miss sweet xx
10851,neutral,realize forward text mug phone
10852,sadness,mention yeah sound good
10853,worry,afford dr year pull time
10854,sadness,crappy music radio
10855,hate,freak tire want sleep pattern normal
10856,fun,mention ur way fun
10857,worry,time let people know what happen although often wonder bother hey soon christmas
10858,neutral,whoishonorsocieti never wear panama pant school gt
10859,relief,mention meehan people make mistake ok laugh loud
10860,love,arrive cargo red g toronto postpone til tomorrow afternoon gonna miss lil bro day wait
10861,worry,organ chemistry ah confuse
10862,worry,feel well
10863,love,get new cellphone wednesday lg voyage soo sweet wait long though
10864,neutral,mention cop
10865,worry,mention thank link ny miss mani non online bill know badly score hit
10866,sadness,mention play st pete sold month im tri go orlando one live st pete laugh loud
10867,fun,mention well someone told two week go next week friend school time p
10868,sadness,mention much sugar last lord put ya fun way
10869,happiness,cub wow big close top rd bang bang play st amp start rain
10870,worry,mention stream amaze far download later sadly enough miss first hour
10871,worry,thunder amp light scaredededed
10872,sadness,mention sadly cannon listen sob
10873,worry,mention know make u watch award sunday laugh loud want shower water
10874,worry,mention r depress mite b move earlier
10875,worry,mention sorry one hell day flood
10876,sadness,im bore well crappy first day school
10877,love,mention oh wow work sunday monday still town
10878,surprise,whole time mention
10879,worry,wait friend call email blew feel union
10880,neutral,mention wonder go put one mani tune hope cd
10881,worry,wonder mother nature make life miser
10882,neutral,mention love dessert use live live tx visit
10883,neutral,tire tweeter
10884,hate,screw guy prom picture
10885,love,mention oh ye quit nice photoshop lie zojuist vast start paint glove
10886,worry,rais price work mean people tip le yay
10887,sadness,want cri
10888,sadness,mention left sad wait mom come home want papa john dinner
10889,happiness,hang school last day senior
10890,worry,mention cut feel way
10891,love,love get gift mail wonder friend back home miss myrtle beach much little homesick today
10892,surprise,nana got move funny old woman story
10893,worry,mention sure hope might spend shop money today
10894,worry,gosh watch comet surgery nightmare itv aw
10895,neutral,mention ah
10896,neutral,saw dark burgundy scion b dark shade make look like minim shadow line curve lost
10897,empty,well jag took shit way home train hope alter
10898,worry,mention lost plea help find good home
10899,worry,prd take long time review
10900,worry,mention oo good luck dundee tonight co ton uni work
10901,worry,play game leave work work til least pm tonight
10902,sadness,im soo bore im deaf miss music channel
10903,enthusiasm,appear tv could fix plus side refund cost buy new one
10904,sadness,mention great check get work block sim work
10905,empty,mention know feel cassie cat went miss week ago still display pic miss much
10906,sadness,mention friday feel bore time fun today much mood either
10907,sadness,mention take class fall cool though im okay
10908,sadness,mention work miss shannon could bare contain amazingly good time
10909,sadness,sometime wish hair back
10910,hate,stupid job ink
10911,happiness,nice natal taught jameson
10912,worry,mention oh god poor jack happen mention dog one time hope get better soon
10913,worry,much limbo later stop lose twitter buddy
10914,worry,research ecology friendly carrier bag cheap eco friendly
10915,sadness,mention ixi number give energy rush play festive close june work go
10916,worry,mention yea look like may show haunt all get art sci oblige
10917,neutral,one million people dm today
10918,worry,cucumber mm much ugh
10919,neutral,warm nice outside suck stuck inside code
10920,worry,mention heck kid better camera sure laugh loud like video drop vid cam
10921,love,noon favorite work got new job marc jacob show fair want go
10922,neutral,way wait locker nd pas hall nd say anth
10923,worry,really feel like got tan gave work instead skin cancer over love cj
10924,sadness,mention depress
10925,sadness,want whole day hurry
10926,surprise,mention kinda turn buy dig deeper hole etc
10927,hate,new dress look sort horrible
10928,sadness,mention unfair wanna go
10929,relief,mention yeah mention mention one care
10930,neutral,wish would make friction mind
10931,worry,whew final done edit friendlier account aha oh gee hungry
10932,enthusiasm,cent buy share gm stock probably cent tomorrow
10933,worry,walk past school went junior high torn
10934,worry,er bring startup choreography
10935,neutral,hum bill bailey
10936,relief,pick tj last full day school half day left
10937,neutral,really almost time go back chico im exit time go miss home
10938,sadness,mention game things mine final die year rip
10939,love,mention pff triumph cut gone nap laugh
10940,relief,mention soo dont wanna work trw half day tho hope sun stay gonna go get shower tweet lr
10941,worry,get fuel bad one read
10942,worry,think sunstroke
10943,worry,baby adventure hour car lake ann mi admit cri little truck pull
10944,hate,alon sick assign someone
10945,love,work swollen face thank god kohl though feel fat flip flop break annand get hair done tonight
10946,sadness,mention day
10947,worry,mention time july underage festive august found other far away
10948,worry,damn burn leg x
10949,sadness,yea baby im gonna miss much
10950,sadness,crash wi high miss mayfield
10951,neutral,long day still mow lawn
10952,sadness,hate sick make soup
10953,worry,wish brought usb fan work air circus
10954,neutral,mention heard seem overreact
10955,worry,mention think camera show anyway cw abc fam appreci like
10956,neutral,mention think felin friday anyway want cat picture may saturday though
10957,worry,home recor major liver surgery pain
10958,worry,mention need hug im move hous im major stress
10959,sadness,screw sat u
10960,surprise,oh god map pantry call name ignore day drive complete insane mani calorie
10961,worry,mention take tablet could migraine
10962,worry,feel like work use wrong ping group
10963,worry,mention lola dude stop got person homegirl twitter laugh loud
10964,worry,mention dint get tweet
10965,worry,sometime knowledge good thing
10966,sadness,sun cool
10967,worry,mention luck either nut hope see
10968,sadness,feel well feel voodoo weak hate sick summer
10969,worry,mention russia today crack economy tommorrow retake aspel
10970,sadness,hour left teenage ill sleep hour depress
10971,neutral,think need follow still warm go cinema later c night museum
10972,happiness,mention look like magic
10973,surprise,mention oh god poor pp hope ok scarf wow believe one notice
10974,hate,hate alarm go
10975,happiness,mention think nice got sick lame
10976,worry,mention sahara oh god got hr sleep
10977,neutral,since bog exam hugh least there left britain got talent
10978,worry,mention man really sorry
10979,worry,every finance dont
10980,neutral,go work nightshift
10981,neutral,brought john tucker must die first copy wreck watch
10982,hate,finish play mahon lost mag wish
10983,sadness,want go basshunt concert tonight want
10984,fun,mention mann meet summat cometh
10985,worry,burnt hand cooker hurt
10986,neutral,mention vote close
10987,worry,every part body ach tri hard throw
10988,neutral,dont know world thing work
10989,neutral,mention
10990,neutral,tikka phone ii fuck shift point cool
10991,worry,mention vote webster find vote
10992,worry,mention find origin blip fm ex model version much
10993,happiness,happy stool let today last day yippee r p jackson tyler morris always love never forgotten
10994,worry,mention oh wish chick film defiantly jealous
10995,neutral,mention cant get chat thing work
10996,worry,mention think nice got sick lame
10997,worry,told dan say anth anymore im super sad
10998,worry,cloud today
10999,neutral,freak hot humid today
11000,sadness,miss boo
11001,sadness,brag kitten cute cat never came home wanna throw
11002,neutral,ugh got work think dang taxi ppl say well fault
11003,neutral,lunch club meet effie bore
11004,sadness,really want job
11005,sadness,egg want go kayley hous cant fiona bore weekend urge wanna spend da nite go see go shop
11006,worry,mention aha lake show prob win learn lesson pat
11007,happiness,eat umm dont think since season end
11008,hate,weather gross outside put bad mood
11009,worry,cannon tweet eye still dilate morn eye exam very bloc mention
11010,worry,need get compute fix
11011,worry,mention prob sold want see day laugh loud
11012,sadness,mention aww wish could talk minute
11013,sadness,sad day beer drink move goer speaker theatr
11014,sadness,good mood mama away si talk either boy see weekend plan
11015,worry,really really really hope jordan okay
11016,sadness,man fuck test play cod day till summer
11017,relief,mention guy actual rock go europe jb
11018,worry,mention sorry
11019,sadness,stuck long as traffic motorway gonna get home pm tire
11020,worry,much outside killen eye
11021,neutral,time
11022,neutral,mention
11023,neutral,turn near perfect mini break
11024,worry,poor laptop got rogue away visitor amp work properly big bummer
11025,relief,mention cold pal
11026,sadness,beauty night im stuck inside feel ill instead crazy as parti
11027,worry,think never tire enter life gotta go got homework
11028,worry,headache right really need get better
11029,neutral,mention wish would say follow
11030,enthusiasm,book head write weekend may hi ho hi ho work go
11031,sadness,mention aww miss twitpic
11032,neutral,gut say replace appliance instead repair want smart tri repair replace right choice
11033,sadness,watch week later good day
11034,love,mention high crystalmariedontluvspiteanymor
11035,hate,mention want soo bad hate miss gumbo shoot tommorrow gumbo
11036,neutral,mention oh dear serious one prevent bite itch distract edit sigh
11037,happiness,trip stockholm got cancel make plan shop tomorrow noth make girl happy like shop
11038,worry,done internship
11039,sadness,mention die lunch date rocco come plus new shoe ugh
11040,sadness,good day sigh
11041,hate,mad hell someone stole pink amp black leapor print pump want wear today god glory bless abundantly
11042,neutral,hair turn white
11043,relief,dig soul jazz collect attempt cheer think work little
11044,worry,yea gonna need put blunt
11045,surprise,mention know money medicus
11046,worry,mention work watch later even though
11047,sadness,tummy hurt
11048,neutral,mention mention new look sold three nice one georg toyshop also sold xx
11049,worry,babysit little kid cant believe year
11050,hate,work depress hell want someone fokin come holiday august
11051,relief,mention yep tail leg
11052,happiness,mention except im site near airport dixon lil gp head
11053,fun,mention are tw cat watch full hous sabrina teenage witch sister sister run
11054,sadness,miss guy really
11055,worry,bah tea toast stomach happy tea yummy though
11056,sadness,mention im go work marry mud never see
11057,worry,well aunt dog die understand devant probably head soon support
11058,worry,way dentist
11059,sadness,ah jitters upset absolute reason
11060,worry,mention follow friday laugh loud
11061,worry,mention song soo hot want go might work think mgr piss work last night
11062,sadness,rest peace marshal
11063,worry,mention need buy phone good app work wi fi though
11064,sadness,mention forgot put cometh essential day
11065,love,mention get go home go work
11066,neutral,track amp feel probably cancel
11067,sadness,write yearbook make wanna cri
11068,sadness,header monday well absolute plan weekend
11069,happiness,wanna see jb move expert wanna touch joe
11070,worry,mention storm seem come way
11071,love,mention thank man sort ever remem
11072,fun,apjbeastiesthieveryvoltabatlashesbandofhors enjoy line bad san fran
11073,worry,cold lost wallet
11074,sadness,mention darn think journey like really
11075,worry,keep type
11076,sadness,mention oh sorry hope back bike soon
11077,sadness,lock hous shit thank god internet
11078,love,mention int like episode though sad
11079,sadness,mention toy story come june
11080,empty,topic good doc oh well open page
11081,neutral,mention oil back london happen reunion
11082,hate,want loan money anyone damn economic kick
11083,happiness,realize tonight drake
11084,love,mention yeah feel sad tho
11085,sadness,mention damn sorry hear tina
11086,worry,mention erm ouch suck need crutch happen hope get feel better soonest
11087,worry,mention that pretty bad quality probably worst pic post till date
11088,worry,mention aww psn
11089,sadness,assfuck sorry roll okay gave sucker
11090,sadness,result broken condom
11091,happiness,amaze brand new pari neb broke go figure weekend look like get noth one next week sigh
11092,worry,mention fair vote say vote close vote everyday could vote like x
11093,worry,unhappy news plan experiment item fusion reactor become much delay
11094,worry,take long fragment bone heal major bone absorb body may need fix future
11095,sadness,mention oh lucky need send mine away get fix
11096,worry,like foot mention ashton butcher move set amp trailer nowhere sight
11097,sadness,phone stubborn think gene cometh
11098,neutral,feel lazy watch people work roof kat woman
11099,relief,wow trip tampa come end
11100,neutral,move anywhere long freak dishwasher despise dish
11101,worry,good morn world feel really sick
11102,neutral,big boom thunder storm almost may go home early ah probably
11103,worry,umm school subway w mom noth plan ruin
11104,relief,mention think today possible play kohl
11105,worry,mention know feel head get suffer suffer fun
11106,worry,mention dint close pretty sure cri school year though weill cri
11107,sadness,mention give si show crib sunday inched jewelry design gone
11108,sadness,watch move beauty sad time
11109,hate,phone disconnect internet right middle user also first tweet inside steam
11110,sadness,also toy story teaser carmen said would toy story move theater fail
11111,empty,mention thank tip otherinbox work outlook
11112,sadness,porter make sad panda
11113,neutral,grass mow playtime mention say errand run
11114,sadness,whoops taif fun job
11115,happiness,get new one
11116,worry,mention cometh differ text around differ whatsoever
11117,surprise,mention stop drug
11118,sadness,work start
11119,sadness,mention aah hate internet people learn native widget always best
11120,worry,total forgot phone home morn
11121,sadness,man two clock hr till work
11122,sadness,mention show lunch eat solo noodle
11123,empty,fairly upset fact twitter session comment without sam
11124,sadness,mention demi pretty bang every look grown picture like bang
11125,neutral,tri work
11126,surprise,mention butcher class cri
11127,hate,happy b school people piss sometime
11128,sadness,hi anybody el problem karma site work
11129,sadness,wish school sadly still like noth month left
11130,sadness,mention cool tempt see feel sorry jb though hardly people
11131,worry,hard time talk new people pretty sure make good impress
11132,worry,hungry twitter want food
11133,neutral,im back hungry hell havent ate today
11134,sadness,mention suck
11135,hate,ugh noth valley serious gotta move
11136,neutral,mention ive total got donat link gonna double donat week wink x
11137,worry,mention mention look like nap wait still wait poor guy
11138,sadness,happy sad may soul rest peace
11139,neutral,oh yeah laptop fix shame internet still shit slow
11140,sadness,think mow lawn allow done teenage suck well mow
11141,happiness,mention hi im glad fun tennis im go see dr dorman last visit though
11142,worry,mention thank job pay bill noth new except sec trailer keep look noth el
11143,sadness,mention consider lucky rain age depress
11144,sadness,think shop sold world problem leave atlanta tomorrow
11145,worry,help compute virus place east shop vacant mode sort know
11146,sadness,spend lunch murder hit
11147,neutral,mention twitter tend u
11148,sadness,mention familiar sorry feel way
11149,worry,shot espresso aa nothin
11150,sadness,mention wish could go see ya warp sure tho
11151,sadness,feel really dizzy soo good
